-44,-44,-44,-61,-44,-67,-44,-44,-44,-91,-44,-67,-44,-44,-44,-12,-44,-67,-283,-297,-220,100,-319,-283,-44,-44,-44,-25,-44,-67,-44,-44,-44,-25,-44,-28
-44,-44,-8,-44,-44,-67,-44,-44,-24,-44,-44,-67,-44,-44,76,-44,-44,-67,-291,-319,210,-285,-319,-283,-44,-44,0,-44,-44,-67,-44,-44,0,-44,-44,-28
-44,-22,-44,-44,-44,-67,-44,-40,-44,-44,-44,-67,-44,44,-44,-44,-44,-67,-204,180,-187,-261,-319,-283,-44,0,-44,-44,-44,-67,-44,0,-44,-44,-44,-28
-55,-44,-44,-44,-44,-67,-63,-44,-44,-44,-44,-67,24,-44,-44,-44,-44,-67,90,-289,-189,-253,-319,-283,-25,-44,-44,-44,-44,-67,-25,-44,-44,-44,-44,-28
-44,-44,-44,-44,-44,-67,-44,-44,-44,-44,-44,-67,-44,-44,-44,-44,-44,-67,-319,-319,-319,-319,-319,-283,-44,-44,-44,-44,-44,-67,-44,-44,-44,-44,-44,-28
-67,-67,-67,-67,-67,-2000,-67,-67,-67,-67,-67,-2000,-67,-67,-67,-67,-67,-2000,-283,-283,-283,-283,-283,-25,-67,-67,-67,-67,-67,-2000,-123,-123,-123,-123,-123,-28
-44,-44,-44,-71,-44,-67,-44,-44,-44,-77,-44,-67,-250,-266,-190,90,-268,-258,-44,-44,-44,-63,-44,-67,-44,-44,-44,-25,-44,-67,-44,-44,-44,-25,-44,-28
-44,-44,-40,-44,-44,-67,-44,-44,-40,-44,-44,-67,-268,-263,210,-259,-268,-258,-44,-44,-49,-44,-44,-67,-44,-44,0,-44,-44,-67,-44,-44,0,-44,-44,-28
-44,-38,-44,-44,-44,-67,-44,-35,-44,-44,-44,-67,-184,170,-162,-134,-268,-258,-44,-20,-44,-44,-44,-67,-44,0,-44,-44,-44,-67,-44,0,-44,-44,-44,-28
-69,-44,-44,-44,-44,-67,-91,-44,-44,-44,-44,-67,90,-248,-106,-187,-268,-258,-61,-44,-44,-44,-44,-67,-25,-44,-44,-44,-44,-67,-25,-44,-44,-44,-44,-28
-44,-44,-44,-44,-44,-67,-44,-44,-44,-44,-44,-67,-268,-268,-268,-268,-268,-258,-44,-44,-44,-44,-44,-67,-44,-44,-44,-44,-44,-67,-44,-44,-44,-44,-44,-28
-67,-67,-67,-67,-67,-2000,-67,-67,-67,-67,-67,-2000,-258,-258,-258,-258,-258,0,-67,-67,-67,-67,-67,-2000,-67,-67,-67,-67,-67,-2000,-123,-123,-123,-123,-123,-28
